dimension_1	dimension_2	labels
-8.186	20.519	0
-8.684	20.366	0
-8.114	20.649	0
-8.722	21.225	0
-8.637	21.231	0
-9.035	21.142	0
-9.141	21.291	0
-8.928	20.472	0
-8.362	20.630	0
-8.927	20.297	0
-8.276	19.888	0
-7.574	20.572	0
-8.376	19.904	0
-8.322	20.270	0
-8.263	21.260	0
-8.467	20.115	0
-8.052	19.635	0
-8.107	19.923	0
-8.109	19.845	0
-7.523	20.479	0
-7.984	19.691	0
-7.285	19.848	0
-8.484	20.411	0
-7.808	18.498	0
-7.792	19.489	0
-7.193	19.525	0
-7.449	19.712	0
-8.205	19.682	0
-7.289	20.016	0
-7.626	19.039	0
-7.554	19.194	0
-7.571	19.708	0
-7.072	19.118	0
-7.600	19.565	0
-6.881	18.675	0
-6.612	19.188	0
-7.561	19.447	0
-7.420	18.564	0
-7.295	18.757	0
-7.439	18.843	0
-6.907	18.388	0
-6.948	19.180	0
-7.482	18.324	0
-7.042	18.756	0
-6.418	18.524	0
-6.499	18.294	0
-6.908	18.614	0
-6.442	17.540	0
-7.546	18.701	0
-6.170	18.332	0
-5.798	18.045	0
-6.693	18.164	0
-7.008	18.847	0
-6.818	17.768	0
-6.500	18.312	0
-6.142	18.438	0
-5.670	17.510	0
-6.326	18.515	0
-5.932	17.539	0
-5.785	18.376	0
-5.452	17.465	0
-6.178	17.354	0
-5.672	17.506	0
-5.555	17.200	0
-5.471	18.051	0
-5.255	17.859	0
-5.335	17.274	0
-5.485	17.593	0
-5.241	16.218	0
-5.495	17.008	0
-5.972	17.480	0
-4.761	17.123	0
-5.688	17.022	0
-5.137	16.715	0
-4.533	16.726	0
-4.178	16.601	0
-6.151	16.679	0
-5.044	16.437	0
-4.579	15.843	0
-5.152	16.633	0
-4.812	16.335	0
-5.379	16.573	0
-5.210	15.979	0
-4.168	16.984	0
-4.868	15.770	0
-4.799	15.874	0
-4.341	16.322	0
-4.377	16.143	0
-4.482	15.914	0
-3.618	15.945	0
-3.703	15.669	0
-4.767	15.763	0
-3.673	15.240	0
-3.924	15.060	0
-3.603	15.658	0
-3.635	15.868	0
-4.496	15.463	0
-2.917	15.127	0
-3.744	14.412	0
-3.785	15.007	0
-3.635	14.785	0
-2.943	15.533	0
-3.205	15.141	0
-3.053	14.916	0
-3.430	15.104	0
-2.334	15.194	0
-2.205	14.348	0
-2.843	14.829	0
-2.852	14.641	0
-2.238	13.783	0
-2.930	13.302	0
-2.507	14.488	0
-2.290	14.736	0
-2.107	13.910	0
-1.904	14.474	0
-2.832	14.215	0
-1.111	14.767	0
-1.747	13.115	0
-2.311	13.403	0
-1.883	13.279	0
-2.512	14.108	0
-2.005	13.380	0
-2.577	13.191	0
-2.181	13.947	0
-1.837	12.793	0
-1.745	14.016	0
-1.855	13.404	0
-1.429	12.974	0
-1.382	13.232	0
-1.293	12.994	0
-1.396	12.653	0
-1.079	11.796	0
-1.081	12.189	0
-0.808	11.733	0
-0.891	12.686	0
-0.521	12.498	0
-1.888	12.261	0
-0.295	12.179	0
-0.073	12.490	0
-0.557	12.005	0
-0.094	11.800	0
-0.282	11.090	0
-0.408	12.342	0
-0.271	11.337	0
0.094	11.213	0
0.250	11.836	0
-0.234	11.324	0
-0.280	11.403	0
0.062	11.353	0
0.510	11.685	0
-0.256	11.900	0
0.799	11.204	0
0.789	10.740	0
1.331	10.758	0
-0.080	11.267	0
1.684	9.998	0
0.988	10.653	0
1.453	10.486	0
0.766	10.245	0
0.751	10.476	0
1.356	9.989	0
1.426	9.956	0
1.364	9.788	0
2.420	9.626	0
1.608	9.940	0
1.575	9.542	0
2.215	9.698	0
2.357	9.581	0
2.191	10.332	0
1.540	9.778	0
1.974	9.448	0
2.347	8.831	0
2.291	9.335	0
2.219	9.106	0
2.472	8.890	0
1.870	8.358	0
2.576	9.188	0
2.736	8.525	0
2.920	9.400	0
3.439	9.194	0
3.811	8.133	0
2.909	8.270	0
3.322	8.545	0
3.600	8.450	0
3.371	8.158	0
4.321	8.002	0
2.992	8.050	0
3.850	7.921	0
3.828	8.060	0
3.997	8.267	0
4.200	7.482	0
4.118	7.135	0
4.982	7.694	0
3.258	7.371	0
4.907	7.595	0
4.587	7.496	0
4.759	7.257	0
3.971	7.320	0
4.817	6.853	0
4.512	6.438	0
5.491	7.033	0
4.693	7.123	0
4.673	7.222	0
5.278	6.846	0
5.766	6.508	0
5.687	5.679	0
5.562	5.935	0
5.705	5.973	0
5.625	5.388	0
6.395	6.392	0
5.699	5.812	0
5.865	5.513	0
6.065	5.602	0
5.864	5.694	0
5.767	4.445	0
6.498	5.111	0
6.689	4.418	0
6.750	5.416	0
6.364	4.737	0
6.363	5.181	0
7.229	5.270	0
7.104	4.301	0
7.258	4.514	0
7.182	4.285	0
6.288	3.961	0
6.508	4.011	0
8.038	4.486	0
7.881	4.377	0
7.306	3.048	0
7.996	3.178	0
8.911	3.390	0
7.750	3.027	0
8.208	4.046	0
8.510	3.451	0
8.689	2.489	0
8.466	3.102	0
8.688	2.794	0
8.306	2.777	0
8.731	2.364	0
8.860	2.237	0
9.295	3.156	0
8.835	2.866	0
9.237	2.208	0
9.538	2.475	0
10.289	2.836	0
9.195	1.830	0
10.101	2.172	0
10.191	2.577	0
9.879	1.606	0
10.584	1.423	0
10.138	1.399	0
10.392	0.098	0
10.626	1.321	0
10.240	1.324	0
11.690	1.696	0
10.738	1.180	0
11.386	0.635	0
10.665	0.016	0
11.403	0.297	0
11.248	1.084	0
10.677	-0.267	0
11.164	-0.466	0
11.947	-0.057	0
12.222	0.721	0
11.493	-0.519	0
11.866	-0.219	0
12.279	-0.466	0
11.758	-0.002	0
11.912	-0.545	0
12.336	-0.668	0
13.190	-0.569	0
12.110	-0.542	0
13.949	-0.711	0
12.136	-0.661	0
12.596	-1.152	0
12.933	-1.707	0
13.131	-1.706	0
13.099	-1.519	0
13.725	-1.213	0
13.211	-2.049	0
13.646	-0.917	0
14.023	-2.011	0
13.469	-1.971	0
13.432	-1.984	0
14.466	-1.860	0
15.077	-2.188	0
14.395	-2.720	0
14.880	-2.894	0
14.728	-2.803	0
15.022	-2.924	0
15.065	-3.612	0
15.736	-3.048	0
15.492	-2.594	0
15.189	-4.168	0
15.687	-3.624	0
15.542	-4.205	0
15.545	-3.851	0
14.921	-3.716	0
15.214	-4.466	0
16.189	-3.915	0
15.416	-3.728	0
15.698	-4.558	0
16.372	-4.370	0
16.463	-4.312	0
16.804	-4.371	0
17.512	-5.934	0
16.983	-5.060	0
16.752	-4.942	0
17.657	-5.873	0
16.833	-5.198	0
17.719	-4.770	0
16.822	-5.655	0
18.127	-5.850	0
18.008	-6.362	0
17.981	-5.518	0
18.035	-6.582	0
17.872	-6.352	0
17.791	-6.741	0
19.109	-6.402	0
17.928	-6.837	0
18.405	-6.984	0
18.828	-6.403	0
19.183	-6.419	0
19.329	-7.255	0
19.905	-7.245	0
18.846	-6.541	0
20.097	-7.110	0
19.877	-7.568	0
19.925	-7.207	0
19.950	-7.971	0
19.673	-8.354	0
20.201	-8.543	0
21.054	-8.545	0
19.921	-8.532	0
20.421	-8.639	0
21.622	-9.042	0
21.042	-9.175	0
21.480	-9.106	0
21.613	-8.679	0
21.469	-8.283	0
21.087	-9.322	0
21.033	-9.217	0
21.655	-9.400	0
21.456	-9.490	0
21.773	-9.683	0
22.185	-10.234	0
21.786	-10.278	0
23.547	-10.832	0
22.680	-11.103	0
22.551	-10.539	0
22.826	-10.319	0
22.806	-10.210	0
23.650	-10.790	0
23.369	-11.315	0
23.076	-11.549	0
23.383	-12.120	0
23.939	-11.129	0
23.169	-11.578	0
24.208	-11.790	0
24.644	-12.567	0
24.477	-11.937	0
24.758	-12.421	0
36.389	18.070	1
36.245	18.410	1
35.966	18.671	1
35.915	17.913	1
35.805	18.522	1
36.544	18.807	1
34.995	18.353	1
35.080	18.506	1
35.685	18.659	1
34.528	17.447	1
35.686	18.871	1
34.512	18.350	1
34.477	18.269	1
34.500	18.450	1
34.907	18.459	1
35.016	18.361	1
34.877	17.636	1
34.073	17.967	1
32.957	17.580	1
33.017	17.901	1
34.051	18.105	1
33.302	17.251	1
33.218	17.526	1
33.348	17.322	1
32.430	17.495	1
32.740	17.528	1
32.995	17.166	1
32.354	17.477	1
31.496	16.743	1
32.129	17.456	1
31.964	16.407	1
31.503	17.036	1
32.216	18.415	1
31.421	16.665	1
30.944	16.741	1
32.005	17.287	1
30.939	17.467	1
31.109	16.905	1
30.850	17.114	1
30.733	17.241	1
30.677	17.078	1
30.805	16.892	1
30.884	16.766	1
30.144	16.186	1
30.338	16.890	1
30.178	17.175	1
29.756	16.727	1
29.844	17.035	1
29.864	16.721	1
30.071	17.144	1
29.686	16.774	1
29.114	16.255	1
28.891	16.113	1
29.335	16.411	1
29.686	16.340	1
28.431	16.345	1
29.747	15.930	1
28.012	15.973	1
28.169	16.840	1
28.394	15.977	1
28.227	16.039	1
28.866	16.075	1
27.846	16.078	1
28.135	14.725	1
27.677	16.578	1
28.210	16.455	1
27.076	15.654	1
27.452	16.475	1
26.775	15.725	1
27.132	16.194	1
27.520	15.691	1
26.151	15.875	1
26.788	15.519	1
26.543	16.066	1
26.852	15.775	1
25.741	15.039	1
26.537	15.355	1
26.013	15.250	1
26.122	15.628	1
25.294	15.065	1
26.035	15.338	1
25.852	15.086	1
25.765	14.992	1
25.670	15.204	1
25.064	15.151	1
25.162	14.814	1
25.260	15.552	1
24.931	14.866	1
23.784	15.456	1
23.966	15.288	1
24.112	13.991	1
25.003	14.966	1
24.854	15.341	1
24.771	15.206	1
24.114	15.406	1
24.341	15.094	1
24.040	15.438	1
23.254	14.232	1
24.090	14.506	1
22.927	14.693	1
23.589	14.037	1
23.842	14.733	1
23.766	13.711	1
23.123	14.665	1
23.693	14.320	1
23.303	14.442	1
23.081	14.437	1
22.852	14.793	1
22.869	14.809	1
22.729	14.108	1
22.519	14.604	1
22.384	14.331	1
22.996	13.580	1
22.230	13.522	1
21.024	14.383	1
22.322	14.663	1
21.411	13.211	1
21.604	14.276	1
21.441	14.290	1
21.215	14.271	1
21.330	12.954	1
21.081	13.744	1
21.694	14.899	1
20.741	14.061	1
20.793	14.446	1
20.935	14.100	1
20.155	13.728	1
21.186	13.151	1
20.960	13.856	1
20.541	13.045	1
19.708	14.051	1
20.592	14.073	1
20.020	14.175	1
19.079	13.880	1
20.186	13.732	1
19.348	13.995	1
19.736	13.812	1
19.250	13.576	1
19.740	13.633	1
18.728	13.351	1
19.648	13.493	1
19.540	13.314	1
18.466	13.549	1
18.480	13.316	1
18.347	12.707	1
18.714	12.647	1
18.793	13.465	1
17.890	12.716	1
18.763	13.032	1
18.211	12.482	1
18.237	13.617	1
18.829	13.157	1
17.853	13.109	1
17.638	13.305	1
18.418	13.205	1
17.343	13.291	1
17.802	12.609	1
17.920	13.076	1
18.002	12.861	1
17.677	13.127	1
17.061	12.292	1
16.843	13.187	1
16.197	12.657	1
17.207	13.203	1
16.672	13.564	1
17.120	12.428	1
17.300	13.356	1
16.349	13.178	1
16.205	12.879	1
15.949	12.936	1
15.527	12.493	1
15.776	12.459	1
15.485	12.693	1
15.907	12.826	1
16.190	12.676	1
16.140	12.843	1
15.247	12.180	1
14.837	12.570	1
15.712	12.898	1
15.061	12.923	1
15.029	12.355	1
14.987	12.474	1
15.436	13.450	1
15.060	12.288	1
14.140	12.510	1
14.651	12.638	1
14.820	12.622	1
14.214	12.817	1
15.253	12.010	1
14.299	12.645	1
14.518	12.336	1
14.229	12.496	1
13.752	12.925	1
14.586	12.988	1
14.182	12.153	1
13.804	12.283	1
14.364	12.616	1
14.622	12.418	1
13.019	12.374	1
13.211	12.638	1
12.277	12.664	1
13.257	11.976	1
13.286	12.237	1
13.712	12.139	1
12.847	12.389	1
13.928	12.598	1
12.792	12.107	1
12.727	12.359	1
13.034	12.543	1
12.480	11.716	1
12.177	12.963	1
12.348	11.733	1
12.053	12.551	1
11.689	11.985	1
12.465	12.487	1
12.737	11.379	1
12.073	12.300	1
11.926	12.561	1
11.993	12.240	1
12.264	12.735	1
11.667	12.198	1
11.966	11.473	1
11.576	12.312	1
11.251	12.317	1
11.863	12.180	1
11.290	12.578	1
11.268	12.352	1
11.275	12.706	1
11.586	12.082	1
11.080	12.085	1
11.287	12.450	1
10.270	12.169	1
11.126	12.574	1
10.780	12.441	1
10.871	12.219	1
10.834	12.323	1
11.041	11.443	1
10.965	11.818	1
10.250	11.600	1
10.596	12.733	1
9.385	12.586	1
10.855	11.877	1
10.461	12.532	1
9.989	12.480	1
10.769	11.983	1
9.994	12.158	1
9.723	12.066	1
9.111	11.665	1
9.689	12.127	1
10.047	12.006	1
8.977	12.083	1
9.362	11.956	1
9.430	12.028	1
9.607	12.409	1
8.785	12.461	1
9.456	11.433	1
9.077	12.463	1
8.967	11.738	1
9.313	11.611	1
9.490	12.103	1
8.667	11.847	1
8.760	12.172	1
8.492	12.034	1
8.244	11.829	1
7.806	11.988	1
7.897	11.974	1
8.792	12.577	1
8.671	11.548	1
7.909	12.048	1
7.756	12.587	1
8.612	11.139	1
8.154	11.937	1
7.751	11.928	1
7.945	11.291	1
7.320	12.197	1
8.026	11.973	1
7.773	12.082	1
7.927	11.606	1
7.614	11.864	1
7.197	12.527	1
6.948	12.155	1
7.354	12.384	1
6.926	12.074	1
7.288	10.787	1
7.409	12.031	1
7.339	12.281	1
5.963	12.182	1
7.093	12.677	1
6.695	11.846	1
6.450	11.234	1
6.625	12.003	1
6.820	11.537	1
6.963	12.197	1
6.974	12.083	1
5.772	11.514	1
7.119	11.683	1
6.685	12.161	1
6.417	11.699	1
6.765	11.690	1
6.747	12.278	1
5.288	11.340	1
5.984	12.027	1
5.776	11.886	1
6.452	12.002	1
6.068	12.050	1
6.162	12.263	1
5.045	12.004	1
5.780	11.641	1
5.585	11.835	1
5.810	11.966	1
5.136	12.554	1
5.093	11.954	1
5.542	11.087	1
5.489	12.440	1
5.661	12.096	1
5.403	11.755	1
4.913	12.215	1
5.407	12.088	1
5.243	12.298	1
5.283	12.124	1
5.336	12.007	1
4.735	12.746	1
3.884	12.103	1
5.154	12.154	1
4.700	13.012	1
5.114	12.114	1
5.128	11.664	1
4.785	11.998	1
4.165	12.467	1
4.664	13.212	1
5.415	12.212	1
4.135	12.224	1
4.851	12.580	1
3.804	11.913	1
4.271	11.685	1
4.559	12.029	1
4.469	12.372	1
4.695	12.124	1
4.232	12.619	1
3.551	12.864	1
3.378	12.370	1
4.070	12.230	1
4.295	12.365	1
3.971	12.280	1
3.431	11.947	1
3.107	13.040	1
3.690	12.705	1
3.407	12.159	1
3.567	12.927	1
3.741	12.510	1
3.254	12.672	1
4.101	12.948	1
2.797	12.164	1
3.536	12.597	1
2.937	13.420	1
3.577	12.583	1
3.049	12.025	1
3.295	11.940	1
3.152	12.180	1
2.775	12.568	1
3.989	13.388	1
3.922	12.948	1
2.438	12.734	1
3.305	13.395	1
3.526	12.599	1
3.674	13.253	1
2.745	13.319	1
2.847	12.476	1
2.553	13.269	1
2.510	13.245	1
2.802	12.853	1
2.203	12.727	1
2.838	13.847	1
1.953	12.751	1
2.858	12.872	1
2.298	12.660	1
1.935	12.571	1
2.722	12.818	1
2.429	12.944	1
2.898	12.992	1
2.399	12.323	1
3.050	13.310	1
3.325	13.624	1
2.092	12.548	1
2.758	12.819	1
2.340	13.447	1
1.808	13.251	1
2.070	12.757	1
2.423	12.854	1
1.657	13.512	1
2.054	13.341	1
2.935	13.678	1
2.141	13.828	1
2.074	12.569	1
2.229	13.027	1
2.006	13.221	1
1.418	13.910	1
1.711	13.308	1
1.459	14.310	1
1.372	13.760	1
2.601	14.017	1
1.885	13.429	1
0.838	14.475	1
1.127	13.293	1
1.688	13.933	1
1.607	13.693	1
1.802	14.121	1
1.593	13.503	1
1.820	14.667	1
1.753	14.003	1
1.547	14.253	1
0.782	14.281	1
1.456	13.827	1
1.200	14.132	1
1.121	14.670	1
1.571	13.400	1
1.129	14.391	1
0.345	14.303	1
1.246	14.150	1
0.610	13.948	1
0.972	13.982	1
0.953	14.507	1
1.073	14.284	1
0.973	14.989	1
0.654	14.364	1
1.502	14.371	1
0.898	14.231	1
0.499	13.693	1
1.073	14.066	1
1.703	14.326	1
0.394	13.912	1
0.773	13.851	1
0.313	14.158	1
0.279	14.181	1
0.415	14.075	1
0.392	15.339	1
0.803	14.385	1
0.577	14.525	1
-0.080	14.386	1
0.916	14.663	1
-0.248	14.697	1
0.716	14.773	1
0.686	14.904	1
0.377	14.898	1
0.399	14.929	1
0.195	14.415	1
0.420	15.040	1
0.029	14.878	1
0.464	15.435	1
0.272	15.943	1
0.369	14.723	1
0.084	15.309	1
0.359	15.336	1
0.338	16.048	1
0.168	15.784	1
-0.008	15.251	1
0.384	15.811	1
-0.087	15.861	1
0.266	15.479	1
0.768	15.540	1
-0.196	14.942	1
-0.401	15.510	1
0.455	15.218	1
-0.332	14.992	1
-0.549	15.597	1
-0.013	15.590	1
-0.286	15.971	1
0.294	15.517	1
0.131	15.822	1
0.073	16.152	1
-0.089	16.219	1
-0.508	15.576	1
-0.848	15.829	1
-1.558	16.026	1
-0.592	16.178	1
0.156	15.681	1
-0.086	16.243	1
-0.509	16.560	1
0.039	15.804	1
-0.708	16.452	1
-0.759	16.702	1
-0.363	16.616	1
-0.432	16.479	1
-0.487	16.127	1
-0.034	15.970	1
-0.183	16.529	1
-0.513	16.479	1
0.176	16.851	1
-0.141	17.273	1
0.034	16.057	1
-0.500	17.353	1
-0.059	16.407	1
-0.595	16.443	1
-1.199	16.736	1
-0.282	16.446	1
-0.358	16.820	1
-0.906	16.608	1
-0.249	16.810	1
0.289	17.048	1
-0.152	17.635	1
-0.252	16.876	1
-1.076	17.828	1
0.481	17.111	1
0.171	17.037	1
-1.053	17.512	1
-0.156	17.442	1
0.228	17.197	1
-0.838	17.513	1
0.236	17.566	1
-0.772	17.583	1
-0.563	17.914	1
-0.876	16.842	1
-0.318	16.984	1
0.179	17.333	1
0.498	18.235	1
-0.322	17.281	1
-0.633	17.421	1
-0.153	17.935	1
-1.106	17.222	1
-0.468	17.815	1
-0.322	18.533	1
0.051	17.458	1
-0.332	18.693	1
-0.435	18.606	1
-0.385	18.085	1
-0.976	19.471	1
0.142	18.444	1
-1.143	18.644	1
-0.769	18.504	1
-1.352	18.725	1
-0.356	18.543	1
-0.750	18.793	1
-0.843	18.230	1
-1.159	19.226	1
0.000	18.659	1
-1.000	18.982	1
-0.082	18.511	1
-0.370	18.832	1
-0.409	18.694	1
-0.827	18.788	1
-0.995	18.678	1
-0.180	19.054	1
-0.400	18.777	1
-0.027	18.889	1
-0.886	18.894	1
-0.334	18.793	1
-0.746	19.687	1
-0.571	18.746	1
-1.599	19.574	1
-0.723	19.309	1
-0.132	19.200	1
-0.905	19.725	1
0.116	19.646	1
-0.446	18.952	1
-0.148	19.132	1
0.052	20.017	1
0.389	19.787	1
-0.293	19.675	1
-0.781	19.780	1
0.480	19.342	1
0.204	20.078	1
-0.058	20.653	1
-0.664	21.155	1
-0.229	19.905	1
-0.266	20.601	1
-0.788	19.927	1
-0.296	20.868	1
-0.398	20.834	1
-0.396	20.589	1
-0.510	20.808	1
-0.301	20.897	1
0.033	20.895	1
-0.546	21.083	1
-0.359	21.425	1
-0.234	21.290	1
-0.229	20.812	1
-0.679	21.227	1
-0.120	20.896	1
0.147	20.813	1
-0.028	21.128	1
-0.022	20.930	1
0.534	20.488	1
0.409	21.283	1
0.237	21.328	1
0.762	21.987	1
0.284	22.156	1
0.585	21.347	1
1.135	21.677	1
0.298	21.556	1
0.410	20.927	1
0.268	20.973	1
0.297	21.801	1
0.076	21.507	1
0.172	21.665	1
0.925	22.393	1
-0.007	22.352	1
0.658	22.045	1
0.399	22.226	1
0.515	22.706	1
-0.062	22.010	1
27.624	-10.981	2
28.883	-12.216	2
28.936	-11.725	2
28.971	-11.956	2
25.945	-11.377	2
30.051	-10.273	2
28.888	-10.852	2
28.731	-8.939	2
28.889	-11.799	2
27.681	-10.616	2
29.233	-10.742	2
29.032	-11.095	2
28.113	-11.181	2
28.028	-11.437	2
28.150	-11.844	2
28.764	-9.260	2
26.747	-11.803	2
28.049	-9.642	2
27.074	-10.987	2
28.655	-11.248	2
26.132	-9.693	2
27.882	-10.642	2
29.062	-10.570	2
29.130	-10.933	2
28.942	-9.811	2
27.371	-12.919	2
28.901	-9.813	2
29.152	-12.591	2
29.129	-12.725	2
28.391	-10.437	2
29.215	-12.059	2
28.285	-12.202	2
26.802	-12.639	2
28.597	-11.649	2
28.935	-9.597	2
28.284	-10.182	2
25.441	-11.648	2
27.442	-9.643	2
30.560	-9.442	2
29.222	-11.014	2
28.278	-11.127	2
30.399	-11.624	2
29.486	-11.336	2
27.422	-11.159	2
28.394	-10.732	2
29.104	-10.584	2
29.475	-11.040	2
28.485	-11.297	2
28.557	-11.574	2
27.826	-12.121	2
30.393	-11.742	2
28.319	-10.778	2
29.782	-10.573	2
28.345	-11.070	2
30.232	-12.456	2
28.808	-10.173	2
27.472	-9.870	2
28.029	-11.074	2
28.632	-9.804	2
28.832	-11.555	2
27.687	-11.538	2
27.470	-9.680	2
28.258	-12.090	2
27.757	-10.261	2
28.278	-9.092	2
26.385	-10.296	2
29.198	-10.202	2
27.710	-11.332	2
28.278	-11.984	2
28.906	-10.666	2
30.016	-12.914	2
30.243	-9.363	2
27.659	-11.023	2
27.460	-13.051	2
29.548	-10.696	2
27.080	-11.106	2
27.725	-12.684	2
30.474	-11.899	2
28.449	-11.739	2
27.535	-11.407	2
27.747	-9.604	2
26.811	-9.863	2
29.802	-11.420	2
29.975	-10.753	2
29.516	-12.312	2
29.812	-10.663	2
28.938	-13.137	2
28.210	-10.120	2
28.505	-12.639	2
27.894	-10.749	2
29.604	-12.124	2
28.395	-10.571	2
27.822	-12.659	2
28.857	-10.583	2
27.882	-11.140	2
29.012	-10.779	2
27.411	-10.965	2
28.558	-10.711	2
26.977	-9.050	2
29.274	-10.368	2
-0.063	3.570	3
-1.143	4.971	3
-1.956	4.586	3
1.128	4.763	3
-0.013	4.108	3
0.674	3.726	3
0.096	4.324	3
-0.596	3.726	3
-2.366	4.382	3
1.428	2.331	3
0.914	4.275	3
-0.598	4.907	3
-1.123	3.839	3
0.990	4.033	3
-1.576	4.382	3
-0.043	3.811	3
0.480	4.900	3
-0.098	4.127	3
1.491	4.962	3
-0.637	6.564	3
0.013	5.222	3
0.234	4.623	3
0.514	4.247	3
-1.887	3.612	3
0.387	4.468	3
-0.354	3.508	3
